business_unit	facility	year	month	monthnum	volume	metric_1	metric_2
busunit_3	facility_404	2012	January	1	59747	0.89962	0.89881
busunit_3	facility_404	2012	February	2	61753	0.89964	0.89903
busunit_3	facility_404	2012	March	3	65133	0.89963	0.89906
busunit_3	facility_404	2012	April	4	60055	0.89958	0.89887
busunit_3	facility_404	2012	May	5	65537	0.89957	0.89911
busunit_3	facility_404	2012	June	6	60828	0.89982	0.89865
busunit_3	facility_404	2012	July	7	59722	0.89946	0.89880
busunit_3	facility_404	2012	August	8	68492	0.89924	0.89847
busunit_3	facility_404	2012	September	9	58770	0.89937	0.89843
busunit_3	facility_404	2012	October	10	65974	0.89924	0.89776
busunit_3	facility_404	2012	November	11	55278	0.89926	0.89796
busunit_3	facility_404	2012	December	12	49077	0.89931	0.89827
busunit_3	facility_404	2013	January	1	65210	0.89943	0.89838
busunit_3	facility_404	2013	February	2	58201	0.89938	0.89857
busunit_3	facility_404	2013	March	3	61286	0.89928	0.89879
busunit_3	facility_404	2013	April	4	66965	0.89969	0.89910
busunit_3	facility_404	2013	May	5	66015	0.89968	0.89877
busunit_3	facility_404	2013	June	6	62668	0.89949	0.89844
busunit_3	facility_404	2013	July	7	64913	0.89883	0.89897
busunit_3	facility_404	2013	August	8	68474	0.89955	0.89909
busunit_3	facility_404	2013	September	9	64205	0.89950	0.89893
busunit_3	facility_404	2013	October	10	68823	0.89961	0.89869
busunit_3	facility_404	2013	November	11	57115	0.89955	0.89858
busunit_3	facility_404	2013	December	12	54808	0.89882	0.89849
busunit_3	facility_404	2014	January	1	58277	0.89947	0.89873
busunit_3	facility_404	2014	February	2	57947	0.89905	0.89907
busunit_3	facility_404	2014	March	3	63334	0.89896	0.89842
busunit_3	facility_404	2014	April	4	65171	0.89956	0.89854
busunit_3	facility_404	2014	May	5	64673	0.89960	0.89848
busunit_3	facility_404	2014	June	6	63795	0.89944	0.89818
busunit_3	facility_404	2014	July	7	68519	0.89885	0.89857
busunit_3	facility_404	2014	August	8	65821	0.89841	0.89889
busunit_3	facility_404	2014	September	9	66072	0.89832	0.89840
busunit_3	facility_404	2014	October	10	72539	0.89846	0.89833
busunit_3	facility_406	2012	January	1	27175	0.89985	0.89912
busunit_3	facility_406	2012	February	2	28874	0.89986	0.89927
busunit_3	facility_406	2012	March	3	28780	0.89993	0.89913
busunit_3	facility_406	2012	April	4	26221	0.89992	0.89920
busunit_3	facility_406	2012	May	5	26583	0.89992	0.89906
busunit_3	facility_406	2012	June	6	23759	0.89992	0.89878
busunit_3	facility_406	2012	July	7	24568	0.89996	0.89939
busunit_3	facility_406	2012	August	8	27450	0.89953	0.89912
busunit_3	facility_406	2012	September	9	22600	0.89987	0.89912
busunit_3	facility_406	2012	October	10	28137	0.89996	0.89887
busunit_3	facility_406	2012	November	11	24385	0.89992	0.89922
busunit_3	facility_406	2012	December	12	21759	0.89977	0.89945
busunit_3	facility_406	2013	January	1	27791	0.89968	0.89917
busunit_3	facility_406	2013	February	2	25207	0.89988	0.89893
busunit_3	facility_406	2013	March	3	25775	0.89992	0.89950
busunit_3	facility_406	2013	April	4	26014	0.89985	0.89934
busunit_3	facility_406	2013	May	5	25775	0.89992	0.89880
busunit_3	facility_406	2013	June	6	22701	0.89991	0.89912
busunit_3	facility_406	2013	July	7	24373	0.89988	0.89943
busunit_3	facility_406	2013	August	8	25092	0.90000	0.89916
busunit_3	facility_406	2013	September	9	22596	0.89982	0.89938
busunit_3	facility_406	2013	October	10	26625	0.89981	0.89929
busunit_3	facility_406	2013	November	11	22906	0.89991	0.89952
busunit_3	facility_406	2013	December	12	22938	0.89991	0.89900
busunit_3	facility_406	2014	January	1	26552	0.89996	0.89947
busunit_3	facility_406	2014	February	2	24059	0.89988	0.89909
